name,date,registrationDate,registrationUrl,type,description
대구마라톤,2026-02-22,2025.10.01 예정,https://www.daegumarathon.com/,ROAD,"세계육상연맹(WA) 골드라벨 인증 대회로, 대구 스타디움에서 출발하여 시내를 관통하는 순환 코스다. 약 4만 명 규모로 진행된다."
고구려 마라톤,2026-02-22,2025.11.07 ~ 2026.02.02,https://www.goguryeomarathon.org/,ROAD,"뚝섬 한강공원에서 개최되는 역사 테마 마라톤이다. 풀, 32km, 하프, 10km 등 다양한 종목을 제공하며 시즌 초반 체력 점검용으로 인기가 높다."
머니투데이방송 삼일절 마라톤,2026-03-01,2025.12.02 선착순,https://www.samilrun.com/,ROAD,"삼일절을 기념하여 뚝섬 한강공원에서 열리는 대회다. 전국마라톤협회가 주관하며, 기록보다는 기념의 의미를 둔 러너들의 참여가 활발하다."
서울마라톤 (제96회 동아마라톤),2026-03-15,2025.06.10 우선접수,https://en.seoul-marathon.com/,ROAD,"국내 최고 권위의 대회로 광화문에서 잠실종합운동장으로 이어지는 코스다. 보스턴 마라톤 자격 기록(BQ) 획득이 가능하며, 풀코스의 경우 기록 제출이 필수적이다."
지리산봄꽃레이스,2026-03-21,2026.01.05 선착순,https://jirisanrace.com/,ROAD,전남 구례 섬진강변을 따라 달리는 대회다. 로드와 트레일의 중간 성격을 띠며 지역 농산물을 활용한 보급과 지리산의 수려한 경관이 특징이다.
경주벚꽃마라톤,2026-04-04,2025.12.31 선착순,https://www.cherrymarathon.co.kr/,ROAD,"경주 보문단지 일대의 벚꽃 개화 시기에 맞춰 진행되는 관광 결합형 대회다. 하프와 10km, 5km 종목으로 구성되어 가족 단위 참가자가 많다."
서울하프마라톤,2026-04-26,2025.12.18 선착순,https://www.seoulhalfmarathon.com/,ROAD,광화문광장에서 출발해 상암 월드컵공원(하프)과 여의도공원(10km)에 도착하는 도심 코스다. 대규모 차량 통제가 이루어지는 서울의 대표적 봄 레이스다.
춘천마라톤,2026-10-18 예정,2026.06.24 선착순,https://www.chuncheonmarathon.com/,ROAD,"가을의 전설'이라는 별칭을 가진 대회로, 의암호를 순환하는 코스가 매우 아름답다. 언덕과 평지가 조화로운 코스로 난이도가 다소 있으나 역사적 가치가 높다."
JTBC 서울마라톤,2026-11-01,2026.03.23 얼리버드,https://marathon.jtbc.com/,ROAD,상암에서 출발하여 잠실로 향하는 코스다. 젊은 층의 선호도가 매우 높은 축제형 분위기가 강점이다.
손기정 평화 마라톤,2026-11-15 예정,2026.08.01 선착순,https://www.sonkeechungrun.com/,ROAD,대한민국 마라톤의 영웅 손기정 선수를 기리는 대회다. 시즌을 마무리하는 성격이 강하며 잠실 일대에서 진행된다.
코리아 스노우 트레일,2026-01-17,2025.11.01 선착순,https://snowtrail.kr/,TRAIL,강원도 태백산과 함백산 일대에서 열리는 설상 트레일러닝 대회다. 30k와 13k 코스로 운영되며 동계 필수 장비 검사가 엄격하다.
장수 트레일레이스 (Spring),2026-04-03,2024.11.20 선착순,https://rocknrun.kr/,TRAIL,"전북 장수군의 8구비 능선을 달리는 대회다. 70K, 38K, 20K 등 다양한 코스를 제공하며 지역 청년들이 주도하는 활기찬 운영이 돋보인다."
제주국제트레일러닝 100K,2026-04-10,2026.01.15 선착순,https://www.jejutrail.com/,TRAIL,제주 가시리 일대와 한라산 자락을 달리는 역사 깊은 대회다. 파타고니아가 메인 파트너로 참여하며 ITRA 포인트를 획득할 수 있다.
서울울트라랠리 (봄),2026-04-11,2026.02.20 선착순,https://www.seoultrailrun.com/,TRAIL,"서울 도심을 둘러싼 산자락을 연결하는 울트라 레이스다. 접근성이 좋고 50k, 30k 등 중장거리 코스 훈련에 용이하다."
코리아 50K (동두천),2026-04-25,2025.12.10 추첨발표,https://korea50k.imweb.me/,TRAIL,"국내 최초의 국제 규격 트레일러닝 대회다. 동두천 왕방산 일대의 가파른 업힐과 다운힐이 특징이며, 참가자 수준이 매우 높다."
블랙야크 트레일런,2026-04-25,2025.12.10 선착순,https://blackyaktrailrun.blackyak.com/,TRAIL,"제주 야크마을을 거점으로 한라산 둘레길을 달리는 50K, 25K 레이스다. 브랜드 멤버십 베네핏과 워밍업 세션 등 부대 행사가 풍성하다."
TNF100 KOREA,2026-05-16,2026.03.10 얼리버드,https://www.thenorthfacekorea.co.kr/tnf100,TRAIL,"강원도 강릉 일대에서 열리는 노스페이스 주최 대회다. 100K 참가자는 이전 50K 완주 기록이 필수이며, 바다와 산을 동시에 경험할 수 있다."
